ano_agricola,primeiro_ano,segundo_ano,safra,uf,produto,area_plantada,producao,produtividade
1976/77             ,1976,77,1ª Safra,MT,MILHO                                   ,247.0,385.0,1.6
1977/78             ,1977,78,1ª Safra,MT,MILHO                                   ,179.0,250.0,1.4
1978/79             ,1978,79,1ª Safra,MT,MILHO                                   ,76.0,118.0,1.6
1979/80             ,1979,80,1ª Safra,MT,MILHO                                   ,86.0,143.0,1.7
1980/81             ,1980,81,1ª Safra,MT,MILHO                                   ,110.0,185.0,1.7
1981/82             ,1981,82,1ª Safra,MT,MILHO                                   ,158.0,278.0,1.8
1982/83             ,1982,83,1ª Safra,MT,MILHO                                   ,198.0,348.0,1.8
1983/84             ,1983,84,1ª Safra,MT,MILHO                                   ,217.0,358.0,1.6
1984/85             ,1984,85,1ª Safra,MT,MILHO                                   ,236.0,401.0,1.7
1985/86             ,1985,86,1ª Safra,MT,MILHO                                   ,275.0,522.0,1.9
1986/87             ,1986,87,1ª Safra,MT,MILHO                                   ,310.0,698.0,2.3
1987/88             ,1987,88,1ª Safra,MT,MILHO                                   ,353.0,756.0,2.1
1988/89             ,1988,89,1ª Safra,MT,MILHO                                   ,352.0,827.0,2.3
1989/90             ,1989,90,1ª Safra,MT,MILHO                                   ,320.0,746.0,2.3
1990/91             ,1990,91,1ª Safra,MT,MILHO                                   ,290.0,699.0,2.4
1991/92             ,1991,92,1ª Safra,MT,MILHO                                   ,270.0,753.0,2.8
1991/92             ,1991,92,2ª Safra,MT,MILHO                                   ,35.0,52.0,1.5
1992/93             ,1992,93,1ª Safra,MT,MILHO                                   ,270.0,810.0,3.0
1992/93             ,1992,93,2ª Safra,MT,MILHO                                   ,93.0,125.0,1.3
1993/94             ,1993,94,1ª Safra,MT,MILHO                                   ,280.0,867.0,3.1
1993/94             ,1993,94,2ª Safra,MT,MILHO                                   ,170.0,306.0,1.8
1994/95             ,1994,95,1ª Safra,MT,MILHO                                   ,270.0,891.0,3.3
1994/95             ,1994,95,2ª Safra,MT,MILHO                                   ,185.0,396.0,2.1
1995/96             ,1995,96,1ª Safra,MT,MILHO                                   ,310.0,1040.0,3.4
1995/96             ,1995,96,2ª Safra,MT,MILHO                                   ,252.0,466.0,1.8
1996/97             ,1996,97,1ª Safra,MT,MILHO                                   ,280.0,1034.0,3.7
1996/97             ,1996,97,2ª Safra,MT,MILHO                                   ,352.0,740.0,2.1
1997/98             ,1997,98,1ª Safra,MT,MILHO                                   ,162.0,561.0,3.5
1997/98             ,1997,98,2ª Safra,MT,MILHO                                   ,366.0,788.0,2.2
1998/99             ,1998,99,1ª Safra,MT,MILHO                                   ,191.0,708.0,3.7
1998/99             ,1998,99,2ª Safra,MT,MILHO                                   ,363.0,544.0,1.5
1999/00             ,1999,00,1ª Safra,MT,MILHO                                   ,191.0,698.0,3.7
1999/00             ,1999,00,2ª Safra,MT,MILHO                                   ,366.0,769.0,2.1
2000/01             ,2000,01,1ª Safra,MT,MILHO                                   ,220.0,891.0,4.0
2000/01             ,2000,01,2ª Safra,MT,MILHO                                   ,323.0,953.0,3.0
2001/02             ,2001,02,1ª Safra,MT,MILHO                                   ,180.0,680.0,3.8
2001/02             ,2001,02,2ª Safra,MT,MILHO                                   ,559.0,1519.0,2.7
2002/03             ,2002,03,1ª Safra,MT,MILHO                                   ,176.0,772.0,4.4
2002/03             ,2002,03,2ª Safra,MT,MILHO                                   ,704.0,2456.0,3.5
2003/04             ,2003,04,1ª Safra,MT,MILHO                                   ,162.0,678.0,4.2
2003/04             ,2003,04,2ª Safra,MT,MILHO                                   ,809.0,2768.0,3.4
2004/05             ,2004,05,1ª Safra,MT,MILHO                                   ,134.0,471.0,3.5
2004/05             ,2004,05,2ª Safra,MT,MILHO                                   ,925.0,2914.0,3.2
2005/06             ,2005,06,1ª Safra,MT,MILHO                                   ,136.0,475.0,3.5
2005/06             ,2005,06,2ª Safra,MT,MILHO                                   ,911.0,3553.0,3.9
2006/07             ,2006,07,1ª Safra,MT,MILHO                                   ,171.0,791.0,4.6
2006/07             ,2006,07,2ª Safra,MT,MILHO                                   ,1421.0,5074.0,3.6
2007/08             ,2007,08,1ª Safra,MT,MILHO                                   ,179.0,790.0,4.4
2007/08             ,2007,08,2ª Safra,MT,MILHO                                   ,1656.0,7016.0,4.2
2008/09             ,2008,09,1ª Safra,MT,MILHO                                   ,131.0,531.0,4.1
2008/09             ,2008,09,2ª Safra,MT,MILHO                                   ,1509.0,7551.0,5.0
2009/10             ,2009,10,1ª Safra,MT,MILHO                                   ,85.0,409.0,4.8
2009/10             ,2009,10,2ª Safra,MT,MILHO                                   ,1905.0,7709.0,4.0
2010/11             ,2010,11,1ª Safra,MT,MILHO                                   ,62.0,366.0,5.9
2010/11             ,2010,11,2ª Safra,MT,MILHO                                   ,1836.0,7253.0,4.0
2011/12             ,2011,12,1ª Safra,MT,MILHO                                   ,94.0,584.0,6.2
2011/12             ,2011,12,2ª Safra,MT,MILHO                                   ,2645.0,15026.0,5.7
2012/13             ,2012,13,1ª Safra,MT,MILHO                                   ,76.0,535.0,7.0
2012/13             ,2012,13,2ª Safra,MT,MILHO                                   ,3349.0,19358.0,5.8
2013/14             ,2013,14,1ª Safra,MT,MILHO                                   ,68.0,422.0,6.2
2013/14             ,2013,14,2ª Safra,MT,MILHO                                   ,3230.0,17627.0,5.5
2014/15             ,2014,15,1ª Safra,MT,MILHO                                   ,64.0,458.0,7.2
2014/15             ,2014,15,2ª Safra,MT,MILHO                                   ,3353.0,20305.0,6.1
2015/16             ,2015,16,1ª Safra,MT,MILHO                                   ,48.0,307.0,6.4
2015/16             ,2015,16,2ª Safra,MT,MILHO                                   ,3560.0,15657.0,4.4
2016/17             ,2016,17,1ª Safra,MT,MILHO                                   ,33.0,256.0,7.8
2016/17             ,2016,17,2ª Safra,MT,MILHO                                   ,4606.0,28611.0,6.2
2017/18             ,2017,18,1ª Safra,MT,MILHO                                   ,27.0,199.0,7.4
2017/18             ,2017,18,2ª Safra,MT,MILHO                                   ,4471.0,26201.0,5.9
2018/19             ,2018,19,1ª Safra,MT,MILHO                                   ,37.0,262.0,7.1
2018/19             ,2018,19,2ª Safra,MT,MILHO                                   ,4869.0,31045.0,6.4
2019/20             ,2019,20,1ª Safra,MT,MILHO                                   ,41.0,346.0,8.4
2019/20             ,2019,20,2ª Safra,MT,MILHO                                   ,5414.0,34609.0,6.4
2019/20             ,2019,20,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
2020/21             ,2020,21,1ª Safra,MT,MILHO                                   ,52.0,438.0,8.4
2020/21             ,2020,21,2ª Safra,MT,MILHO                                   ,5832.0,32806.0,5.6
2020/21             ,2020,21,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
2021/22             ,2021,22,1ª Safra,MT,MILHO                                   ,62.1,516.3,8.3
2021/22             ,2021,22,2ª Safra,MT,MILHO                                   ,6485.3,41103.8,6.3
2021/22             ,2021,22,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
2022/23             ,2022,23,1ª Safra,MT,MILHO                                   ,60.8,509.4,8.4
2022/23             ,2022,23,2ª Safra,MT,MILHO                                   ,7367.3,50731.2,6.9
2022/23             ,2022,23,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
2023/24             ,2023,24,1ª Safra,MT,MILHO                                   ,70.8,590.3,8.3
2023/24             ,2023,24,2ª Safra,MT,MILHO                                   ,6984.2,48204.9,6.9
2023/24             ,2023,24,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
2024/25             ,2024,25,1ª Safra,MT,MILHO                                   ,72.7,603.6,8.3
2024/25             ,2024,25,2ª Safra,MT,MILHO                                   ,7026.1,46175.5,6.6
2024/25             ,2024,25,3ª Safra,MT,MILHO                                   ,0.0,0.0,0.0
